,y
0,62.67044334975369
1,68.22068965517242
2,61.117241379310336
3,70.29556650246306
4,66.26108374384236
5,88.35073891625618
6,85.4935960591133
7,75.8551724137931
8,104.06699507389162
9,130.45665024630543
10,137.14187192118226
11,156.25073891625615
12,165.6206896551724
13,181.76748768472908
14,169.87635467980297
15,164.5320197044335
16,136.85123152709363
17,97.45221674876849
18,88.1847290640394
19,99.89507389162563
20,124.4674876847291
21,120.13497536945816
22,107.7729064039409
23,88.43645320197045
24,97.12857142857145
25,101.60541871921183
26,77.24827586206895
27,86.35172413793103
28,75.34630541871921
29,129.61970443349753
30,124.06157635467981
31,83.00295566502463
32,75.04532019704433
33,54.29852216748768
34,57.24334975369458
35,68.41182266009852
36,69.37487684729065
37,73.10591133004925
38,70.81133004926107
39,62.63645320197044
40,55.11576354679803
41,62.98817733990148
42,76.44187192118225
43,70.60935960591134
44,81.95172413793104
45,78.14285714285714
46,76.06896551724138
47,64.40788177339901
48,67.50492610837439
49,73.59950738916257
50,63.3320197044335
51,71.4948275862069
52,62.67044334975369
53,68.22068965517242
54,61.117241379310336
55,70.29556650246306
56,66.26108374384236
57,88.35073891625618
58,85.4935960591133
59,75.8551724137931
60,104.06699507389162
61,130.45665024630543
62,137.14187192118226
63,156.25073891625615
64,165.6206896551724
65,181.76748768472908
66,169.87635467980297
67,164.5320197044335
68,136.85123152709363
69,97.45221674876849
70,88.1847290640394
71,99.89507389162563
72,124.4674876847291
73,120.13497536945816
74,107.7729064039409
75,88.43645320197045
76,97.12857142857145
77,101.60541871921183
78,77.24827586206895
79,86.35172413793103
80,75.34630541871921
81,129.61970443349753
82,124.06157635467981
83,83.00295566502463
84,75.04532019704433
85,54.29852216748768
86,57.24334975369458
87,68.41182266009852
88,69.37487684729065
89,73.10591133004925
90,70.81133004926107
91,62.63645320197044
92,55.11576354679803
93,62.98817733990148
94,76.44187192118225
95,70.60935960591134
96,81.95172413793104
97,78.14285714285714
98,76.06896551724138
99,64.40788177339901
100,67.50492610837439
101,73.59950738916257
102,63.3320197044335
103,71.4948275862069
104,62.67044334975369
105,68.22068965517242
106,61.117241379310336
107,70.29556650246306
108,66.26108374384236
109,88.35073891625618
110,85.4935960591133
111,75.8551724137931
112,104.06699507389162
113,130.45665024630543
114,137.14187192118226
115,156.25073891625615
116,165.6206896551724
117,181.76748768472908
118,169.87635467980297
119,164.5320197044335
120,136.85123152709363
121,97.45221674876849
122,88.1847290640394
123,99.89507389162563
124,124.4674876847291
125,120.13497536945816
126,107.7729064039409
127,88.43645320197045
128,97.12857142857145
129,101.60541871921183
130,77.24827586206895
131,86.35172413793103
132,75.34630541871921
133,129.61970443349753
134,124.06157635467981
135,83.00295566502463
136,75.04532019704433
137,54.29852216748768
138,57.24334975369458
139,68.41182266009852
140,69.37487684729065
141,73.10591133004925
142,70.81133004926107
143,62.63645320197044
144,55.11576354679803
145,62.98817733990148
146,76.44187192118225
147,70.60935960591134
148,81.95172413793104
149,78.14285714285714
150,76.06896551724138
151,64.40788177339901
152,67.50492610837439
153,73.59950738916257
154,63.3320197044335
155,71.4948275862069
156,62.67044334975369
157,68.22068965517242
158,61.117241379310336
159,70.29556650246306
160,66.26108374384236
161,88.35073891625618
162,85.4935960591133
163,75.8551724137931
164,104.06699507389162
165,130.45665024630543
166,137.14187192118226
167,156.25073891625615
168,165.6206896551724
169,181.76748768472908
170,169.87635467980297
171,164.5320197044335
172,136.85123152709363
173,97.45221674876849
174,88.1847290640394
175,99.89507389162563
176,124.4674876847291
177,120.13497536945816
178,107.7729064039409
179,88.43645320197045
180,97.12857142857145
181,101.60541871921183
182,77.24827586206895
183,86.35172413793103
184,75.34630541871921
185,129.61970443349753
186,124.06157635467981
187,83.00295566502463
188,75.04532019704433
189,54.29852216748768
190,57.24334975369458
191,68.41182266009852
192,69.37487684729065
193,73.10591133004925
194,70.81133004926107
195,62.63645320197044
196,55.11576354679803
197,62.98817733990148
198,76.44187192118225
199,70.60935960591134
200,81.95172413793104
201,78.14285714285714
202,76.06896551724138
203,64.40788177339901
204,67.50492610837439
205,73.59950738916257
206,63.3320197044335
207,71.4948275862069
208,62.67044334975369
209,68.22068965517242
210,61.117241379310336
211,70.29556650246306
212,66.26108374384236
213,88.35073891625618
214,85.4935960591133
215,75.8551724137931
216,104.06699507389162
217,130.45665024630543
218,137.14187192118226
219,156.25073891625615
220,165.6206896551724
221,181.76748768472908
222,169.87635467980297
223,164.5320197044335
224,136.85123152709363
225,97.45221674876849
226,88.1847290640394
227,99.89507389162563
228,124.4674876847291
229,120.13497536945816
230,107.7729064039409
231,88.43645320197045
232,97.12857142857145
233,101.60541871921183
234,77.24827586206895
235,86.35172413793103
236,75.34630541871921
237,129.61970443349753
238,124.06157635467981
239,83.00295566502463
240,75.04532019704433
241,54.29852216748768
242,57.24334975369458
243,68.41182266009852
244,69.37487684729065
245,73.10591133004925
246,70.81133004926107
247,62.63645320197044
248,55.11576354679803
249,62.98817733990148
250,76.44187192118225
251,70.60935960591134
252,81.95172413793104
253,78.14285714285714
254,76.06896551724138
255,64.40788177339901
256,67.50492610837439
257,73.59950738916257
258,63.3320197044335
259,71.4948275862069
260,62.67044334975369
261,68.22068965517242
262,61.117241379310336
263,70.29556650246306
264,66.26108374384236
265,88.35073891625618
266,85.4935960591133
267,75.8551724137931
268,104.06699507389162
269,130.45665024630543
270,137.14187192118226
271,156.25073891625615
272,165.6206896551724
273,181.76748768472908
274,169.87635467980297
